model,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,model_utility,privleak,extraction_strength,forget_quality
llama3b_tofu_forget05_base,0.461581568590986,0.951425781,0.9247186390337836,0.6662770979610104,-99.99999998,0.8869571815782074,
llama1b_tofu_forget05_base,0.4718523197783417,0.88546875,0.8214807148157525,0.6016060462079678,-99.98999998,0.728355480513888,
llama1b_gagd_forget05,0.0001976280338364701,6.766658553001609e-23,0.0044989284806218445,0.43252921386423837,99.99999998,0.03265219234440614,
method1_llama_1b_to_3b_forget05,0.4783515574053596,0.868828125,0.7543966857513699,0.6443682532408493,-99.96999998,0.5983477183936696,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
method1_llama_1b_to_3b_forget05_enhance,0.48097349639239384,0.879140625,0.7670344470350642,0.6429490596636711,-99.97999998,0.6475671122206635,
method1_llama_1b_to_3b_forget05_postrefine_power,0.4758050421811071,0.868457031,0.7470667244677139,0.6485339299494546,-99.96499998,0.5818249793339629,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,目标模型迁移后,unforget 尽可能低 ,mmlu acc高,,,
